City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,cinisi,38.1562,13.1073,65.41,82,40,4.61,IT,1730176879
156,nuuk,64.1835,-51.7216,27.21,74,100,3.44,GL,1730176808
157,bel ombre,-4.6167,55.4167,84.04,65,20,3.44,SC,1730176881
158,saudarkrokur,65.7461,-19.6394,35.71,98,100,8.75,IS,1730176882
159,melekeok village,7.4957,134.6367,86.56,79,100,8.05,PW,1730176883
160,withernsea,53.7311,0.0335,55.31,93,100,7.4,GB,1730176884
161,aioun,16.6614,-9.6149,81.19,25,53,9.01,MR,1730176886
162,comodoro rivadavia,-45.8667,-67.5,60.66,44,0,31.07,AR,1730176847
163,manta,-0.95,-80.7333,71.38,83,75,8.05,EC,1730176889
164,nemuro,43.3236,145.575,50.38,52,4,9.1,JP,1730176890
165,san juan bautista,-14.0108,-75.7358,65.53,67,9,2.57,PE,1730176891
166,paracuru,-3.41,-39.0306,78.71,77,8,15.1,BR,1730176893
167,naze,28.3667,129.4833,76.12,85,85,6.2,JP,1730176894
168,inhambane,-23.865,35.3833,76.98,78,75,0.0,MZ,1730176895
169,harstad,68.799,16.5293,33.15,64,100,21.18,NO,1730176896
170,lospalos,-8.5186,127.0025,86.47,53,100,12.57,TL,1730176897
171,hamilton,39.1834,-84.5333,63.97,76,40,12.66,US,1730176676
172,santa cruz del sur,20.7147,-77.9956,77.23,84,97,13.82,CU,1730176900
173,pandan,14.0453,124.1694,83.03,76,100,19.93,PH,1730176901
174,hpa-an,16.8906,97.6333,89.98,65,28,2.28,MM,1730176902
175,targovishte,43.2592,26.5892,51.4,66,35,1.61,BG,1730176903
176,cam pha mines,21.0167,107.3,74.5,66,100,4.16,VN,1730176904
177,itamaraca,-7.7478,-34.8256,76.53,77,52,12.82,BR,1730176905
178,holualoa,19.6228,-155.9522,74.82,93,91,3.71,US,1730176907
179,vorgashor,67.5833,63.95,27.36,96,100,10.96,RU,1730176908
180,gisborne,-38.6533,178.0042,62.83,60,86,13.13,NZ,1730176909
181,papao,-17.75,-149.55,80.28,72,34,19.44,PF,1730176910
182,mombetsu,44.3525,143.3525,51.82,62,75,6.91,JP,1730176911
183,swakopmund,-22.6833,14.5333,53.98,85,1,3.0,NA,1730176912
184,korhogo,9.45,-5.6333,72.34,91,97,3.8,CI,1730176914
185,harper,4.375,-7.7169,76.17,91,89,5.19,LR,1730176915
186,alotau,-10.3069,150.4462,80.06,88,100,4.79,PG,1730176916
187,fort st. john,56.2499,-120.8529,21.09,93,75,4.61,CA,1730176917
188,qaqortoq,60.7167,-46.0333,30.72,97,100,5.39,GL,1730176918
189,panjakent,39.4952,67.6093,50.41,60,31,0.94,TJ,1730176919
190,arraial do cabo,-22.9661,-42.0278,70.93,86,100,11.59,BR,1730176920
191,qalat,32.1058,66.9083,61.12,31,5,9.08,AF,1730176922
192,kyaikkami,16.08,97.5675,83.41,78,29,3.98,MM,1730176923
193,castillos,-34.1667,-53.8333,54.64,85,0,4.43,UY,1730176924
